Kids_First_Biospecimen_ID_methyl	mean_beta_value
BS_03EY696E	0.5409697454393219
BS_047KD72M	0.5590303392176503
BS_059Y71Y7	0.5586877311860545
BS_06ZT67NX	0.5549268279485051
BS_08GJ3JH4	0.5554761230706633
BS_097Q3709	0.5586860285394556
BS_0ATCJ7Z3	0.5579281151095801
BS_0AWZ1ZTB	0.5361962131783145
BS_0E0C4FMZ	0.538312580208242
BS_0E16EN6E	0.54403819899931
BS_0E539XNH	0.39365800406270407
BS_0EXCT8V6	0.5474652169751105
BS_0F6G5B4Q	0.45849752939586763
BS_0H08N9RR	0.5465404824447782
BS_0HMQNWT6	0.5674752602130564
BS_0JV00K8V	0.5867190206565981
BS_0JZ4RSWQ	0.6004827737125833
BS_0K0R2RHX	0.515052650014263
BS_0K182R15	0.4641685133434731
BS_0KHQTY67	0.5135671357103662
BS_0Q1FFAM2	0.5709878617454643
BS_0QDG4N14	0.47743895546313836
BS_0RWY8M98	0.5531803875032152
BS_0T1E1YBD	0.579425409621331
BS_0TJDWPJT	0.5541014176519997
BS_1048DHEA	0.5250981074308995
BS_109XBCVB	0.5130932602688875
BS_11DEB1E0	0.5342635983810226
BS_13HM4SA1	0.5673969780123227
BS_13VG2WC3	0.5702538441716563
BS_15Y9RNQM	0.5541094786052289
BS_19M1VYF8	0.5395149819767614
BS_1BDNZYMM	0.5793708609059816
BS_1CYD2ESS	0.4676246124190028
BS_1DH8SJ7B	0.555384255610962
BS_1DW2M2Y3	0.5753706394704474
BS_1FQYBQ1P	0.5515139170334106
BS_1G2DAFZY	0.5703301730757111
BS_1JSG9783	0.5699443930483943
BS_1JXKQ1VD	0.5091946220803373
BS_1PD8RD2N	0.5501789103119747
BS_1PTQFNW5	0.4707490735632452
BS_1Q4DFV3T	0.5426223076327638
BS_1RDN5JVD	0.5689806210848375
BS_1SRBJ4WH	0.5324555286777406
BS_1WW4VNXC	0.5082949372780382
BS_1Y8941MS	0.47314830462453766
BS_1ZW0BTJ2	0.5224094636332698
BS_20PJ16XZ	0.48730606856777314
BS_24K0FR7Q	0.5614301891267575
BS_280FN4F8	0.560525225829487
BS_2879S8VV	0.5400620329872082
BS_28PAF8VT	0.5241158601203273
BS_2BE8D4AP	0.5440976419137306
BS_2BSS24QD	0.5756007413425948
BS_2DPWXV8H	0.47989837466195284
BS_2ETZRJQ6	0.5314754407482993
BS_2H4A2AK9	0.5108151397524263
BS_2HBXV5K6	0.5658541961923265
BS_2KGQCKGS	0.5292280875426741
BS_2NZKGP9F	0.5285693414700953
BS_2P2JFKJ7	0.6042015246263659
BS_2PJ73SPC	0.5594420183269685
BS_2S2R8GH5	0.5303062556776528
BS_2W29VZ0Q	0.5484146167105413
BS_32YYB1WF	0.5427661754045148
BS_36X3XJ0A	0.5263560856666307
BS_37AFTBAM	0.5824813338501669
BS_39499N16	0.4737878383125895
BS_39DNBN15	0.5376886726659524
BS_3BKVEDV4	0.5451328250957094
BS_3C7JKRKJ	0.5660339204087881
BS_3F33N9RR	0.5518409707480856
BS_3F3XBXZ4	0.5560312624057887
BS_3JKNWNKV	0.5389272767902066
BS_3MYH1TKQ	0.5622969527310954
BS_3ND4Q1HV	0.5437293813617289
BS_3QQB1VAM	0.565940098150127
BS_3RVF0WEC	0.5543604078958779
BS_3VFJ1SXF	0.5051136410578105
BS_3WYGSH4H	0.547702052120055
BS_4039HAR9	0.48714488265383143
BS_425HDMG2	0.5248514302847803
BS_42V8EPRQ	0.5837338444573177
BS_42X5PNA0	0.5502299132956877
BS_43XHCMC5	0.5579585124741531
BS_458X47PJ	0.5557162837132232
BS_45T9TX1J	0.5363093207347154
BS_46BKSCKR	0.5300332107779413
BS_46NDPFHD	0.5472325779268298
BS_481JJ4AR	0.5578842118718345
BS_4BYJ109R	0.5208176773101809
BS_4CTSVRTB	0.5793788169173102
BS_4K6Y2TEH	0.5539644659851631
BS_4P6YCVEZ	0.5117303729498462
BS_4PD4BEHP	0.5709621428438648
BS_4QKD9JZ7	0.5686768549835121
BS_4S165JR7	0.5186757612377975
BS_4S5HJM6P	0.5566686313565284
BS_4SDCAET8	0.4953370516705435
BS_4SJW4Q4Z	0.5133309304663088
BS_4TFNECS4	0.5425796344836901
BS_4THVWHBK	0.5729679820653427
BS_4TXDH2S8	0.5658702398688773
BS_4ZQMPNP5	0.5476401666409302
BS_53Y8W0N9	0.5658485592072353
BS_554AS76R	0.5062752590733467
BS_55KR9YPC	0.5226686510173765
BS_55PHGKRC	0.44477098154327194
BS_57MSWRQZ	0.5647613927607389
BS_580ZPA5T	0.5580854753442481
BS_5AEBR8CK	0.507102794622939
BS_5BM9MXP9	0.5336579765333896
BS_5CWT1AFF	0.5567076167037976
BS_5H0FNCFG	0.5789389801480114
BS_5K9S2PZE	0.5573666013444901
BS_5NEHMV02	0.505873604711715
BS_5NG858V5	0.5305682140177189
BS_5NM9GXXV	0.46333653827351984
BS_5PBWNSW1	0.480262709193736
BS_5QFPZ2QW	0.5534309130816168
BS_5QKNT1EC	0.5263825786777182
BS_5R5TS5KB	0.5408803102336918
BS_5TB8FGRR	0.5310676097238644
BS_5TN2QNQK	0.5036626266396335
BS_5V730EQB	0.49894289938571584
BS_5W21AWMR	0.5236513703069224
BS_5XP7ZGRB	0.515432069525776
BS_61S3VRAP	0.6065912926678845
BS_62S9RVAC	0.5583155068002547
BS_64PSB5ZD	0.4812100025358569
BS_68RWNB7N	0.5002598981802001
BS_69KSKWE4	0.5678330143087817
BS_6AS03QVQ	0.6229894265570586
BS_6HKMJ4EK	0.5293132508314627
BS_6JTXMCTT	0.5070452110084759
BS_6M1F3J71	0.5714142994697102
BS_6MRNV8Y1	0.5367883532969842
BS_6SRMM7XB	0.5623441861900688
BS_6T1N6Z4Y	0.5689568500911154
BS_6T4MGRKD	0.5109755642286755
BS_6TNM4BXN	0.553186487597331
