signature	mmr_exposure	ctrl_exposure	exposure_diff	pvalue
SBS1	0.08557999301230729	0.09536089825132443	-0.009780905239017146	0.2815021874894576
SBS2	0.005107622783892308	3.738818599911392e-4	0.004733740923901168	4.8421077357615024e-4
SBS3	0.004184155216984989	0.014468543983446498	-0.010284388766461509	0.6693041579498884
SBS4	0	0.0019777186650659024	-0.0019777186650659024	0.5756231904064999
SBS5	0.02481970703812984	0.0885667499113916	-0.06374704287326176	0.018807565855207608
SBS6	0.034200253666692264	0.010921504661222945	0.02327874900546932	0.008862558719404189
SBS7a	0	4.629446764345708e-4	-4.629446764345708e-4	0.7902519530695173
SBS7b	0	6.539442059154794e-4	-6.539442059154794e-4	0.742915989422049
SBS7c	0	7.617757454951026e-5	-7.617757454951026e-5	0.899729181651994
SBS7d	0	1.1002615915678541e-4	-1.1002615915678541e-4	0.899729181651994
SBS8	0.04679614261505355	0.04525452529705839	0.00154161731799516	0.44897718244523654
SBS9	0	0.005479957120298014	-0.005479957120298014	0.3366224103101254
SBS10a	0.004757346112529867	0	0.004757346112529867	1.3803924811828028e-13
SBS10b	0	2.600274322107401e-4	-2.600274322107401e-4	0.8189387040364645
SBS10c	0.004461887459348306	5.741405884881259e-4	0.0038877468708601805	0.012941062801028386
SBS10d	0	7.542458941700095e-5	-7.542458941700095e-5	0.899729181651994
SBS11	0.006877248458987035	0.0011023572103753556	0.005774891248611679	0.0021091745891196785
SBS12	0	9.075311124808902e-4	-9.075311124808902e-4	0.6862580285802189
SBS13	0.008505857129203693	0.0012853060875655975	0.007220551041638096	0.1219495981667304
SBS14	0.029385177196223387	4.3853588015395687e-4	0.02894664131606943	3.320100094475376e-13
SBS15	0.024094272754980973	0.009631502713557274	0.0144627700414237	0.44639985692561324
SBS16	0.005625709603069892	0.0052802750982695315	3.4543450480036073e-4	0.8255349920629734
SBS17a	0	1.8961562865582666e-4	-1.8961562865582666e-4	0.8534877498541928
SBS17b	0.014838321848688	0.0026984180091359825	0.012139903839552017	0.024733310906367063
SBS18	0.010532042689837144	0.016508429057725225	-0.005976386367888081	0.5441735990364986
SBS19	0	0.00202836361467574	-0.00202836361467574	0.6123943953884943
SBS20	0.006940285758874385	0.0010859639931137279	0.005854321765760657	0.012694913465855173
SBS21	0.007105993864038432	0.0022800371047730413	0.00482595675926539	0.12912748958651393
