signature	mmr_exposure	ctrl_exposure	exposure_diff	pvalue
Signature.1	0.19609666983090426	0.22812591959534756	-0.032029249764443296	0.12104456465443994
Signature.2	0.007259992020092092	0.0011305413765225686	0.006129450643569523	0.00517187787311028
Signature.3	0.12238575089359399	0.13957338066291122	-0.01718762976931723	0.3791581554329744
Signature.4	0.004813518758429449	0.006427957282212674	-0.0016144385237832253	0.49799819660030525
Signature.5	0.04227784449033855	0.0960727093338972	-0.053794864843558644	0.01647228636808513
Signature.6	0.016088077468658847	0.008929289738188233	0.007158787730470614	0.5549509860195161
Signature.7	0	8.695788657800534e-4	-8.695788657800534e-4	0.6003535189696791
Signature.8	0.14513485777501525	0.1599755147144647	-0.014840656939449443	0.5032667139147335
Signature.9	0.06567887707008864	0.0606158775840703	0.005062999486018342	0.931921705881359
Signature.10	0.017078928825639633	1.929785664598082e-4	0.016885950259179824	5.162617010555334e-25
Signature.11	0	0.0034093436600141688	-0.0034093436600141688	0.3820337157657679
Signature.12	0	0.006151598643904325	-0.006151598643904325	0.19644342391705127
Signature.13	0.008324759750910125	0.001871173915205353	0.006453585835704772	0.09338289123969967
Signature.14	0.07424588021838686	9.2560281536968e-4	0.07332027740301718	3.356187506924543e-11
Signature.15	0.0022368782373812604	0.00699604421928871	-0.00475916598190745	0.5506128666563453
Signature.16	0.019271659151655483	0.03343218730556752	-0.014160528153912035	0.3024260745283781
Signature.17	0.02645321462183468	0.005099713077011932	0.021353501544822746	0.0023528055348342207
Signature.18	0.00238573530319028	0.008081605683027843	-0.005695870379837563	0.6085534923368665
Signature.19	0.00604274473233983	0.012474405137069908	-0.006431660404730078	0.4137697075306643
Signature.20	0	0.0011327583700892474	-0.0011327583700892474	0.576703729423373
Signature.21	0.010786943080281441	0.002847224145460854	0.007939718934820587	0.12254595145858814
Signature.22	0	5.470347252775619e-4	-5.470347252775619e-4	0.742915989422049
Signature.23	0.0058036510997417695	0.003909460518681059	0.0018941905810607104	0.33514131450894
Signature.24	0	0.0011362638832512933	-0.0011362638832512933	0.6698444699440673
Signature.25	0.03790496345766625	0.03353059399777705	0.004374369459889199	0.8606751942716161
Signature.26	0	0.004664853940804306	-0.004664853940804306	0.5036854154518251
Signature.27	0	1.822167491994945e-4	-1.822167491994945e-4	0.8534877498541928
Signature.28	0.03261673332437369	0.013424827190985181	0.01919190613338851	0.6237483507460443
Signature.29	0.004330797343550294	0.0017344803735542492	0.002596316969996045	0.1833765600587008
Signature.30	0.008199783911609642	0.013716245565852655	-0.0055164616542430125	0.4672239658187468
