signature	nonmmr_exposure	ctrl_exposure	exposure_diff	pvalue
Signature.1	0.22520160881051676	0.22885366916850727	-0.003652060357990511	0.7261848136497084
Signature.2	0.002332669468816103	8.313774810200807e-4	0.0015012919877960224	0.3934972092174641
Signature.3	0.15349184657947798	0.13610960462297655	0.017382241956501426	0.03101007619461471
Signature.4	0.0058867104001143	0.0065626530161491435	-6.759426160348435e-4	0.9527920903520782
Signature.5	0.08986657388546981	0.09761718006764847	-0.007750606182178654	0.5926905033595977
Signature.6	0.007830327369332223	0.009202779614504447	-0.0013724522451722242	0.2037188228512788
Signature.7	0.001552325966032636	6.996691170070283e-4	8.526568490256078e-4	0.05134223060009291
Signature.8	0.17070992284834272	0.15730412938220978	0.013405793466132937	0.1779985940811885
Signature.9	0.05333948899985755	0.06242669355950413	-0.00908720455964658	0.7497506567233745
Signature.10	0	2.4100358148167246e-4	-2.4100358148167246e-4	0.31834231637169014
Signature.11	0.0020200980798408923	0.0037550739713167747	-0.0017349758914758824	0.9338889339708627
Signature.12	0.007658053247762059	0.005776699470865374	0.0018813537768966847	0.8393393605465982
Signature.13	0.0024331391015080667	0.0017313221844714455	7.018169170366212e-4	0.44486404705396315
Signature.14	6.129305043697966e-4	0.0010034150445107739	-3.9048454014097727e-4	0.6000008439619688
Signature.15	0.003919976146545559	0.0077615604012763835	-0.0038415842547308244	0.5364594184399488
Signature.16	0.03547532291580025	0.03292372867115452	0.0025515942446457315	0.9579552175767416
Signature.17	0.005450286968042395	0.005012468588197067	4.378183798453275e-4	0.5263815454110828
Signature.18	0.0040632032561034375	0.009081632994128909	-0.005018429738025471	0.040431113721962446
Signature.19	0.012885540682876733	0.01237208915905425	5.134515238224835e-4	0.2772830679281678
Signature.20	0.0012386986622307857	0.0011063938664303515	1.323047958004342e-4	0.11542622465668839
Signature.21	0.0034450080901633462	0.0026984584900265466	7.465496001367996e-4	0.615753859701585
Signature.22	4.3457718798802837e-4	5.750211230248814e-4	-1.4044393503685304e-4	0.8410562117266501
Signature.23	0.004958203234404591	0.00364846840126276	0.0013097348331418306	0.12651838569892024
Signature.24	8.670507838559445e-4	0.0012032607698989977	-3.3620998604305316e-4	0.9961414541231736
Signature.25	0.029173307600553387	0.03461495662166883	-0.0054416490211154425	0.48535370446302123
Signature.26	0.005998765439153976	0.004332894174902416	0.00166587126425156	0.5260148951213306
Signature.27	4.67497546805729e-4	1.1122122445378516e-4	3.5627632235194385e-4	0.28672060535047106
Signature.28	0.009573795427698982	0.014383202318722565	-0.0048094068910235835	0.6133080302974081
Signature.29	4.301258812859026e-4	0.002059084526410105	-0.0016289586451242021	0.19391284416095683
Signature.30	0.01383149924746092	0.01368756331428398	1.4393593317693978e-4	0.5807665219521703
