signature	repair_exposure	ctrl_exposure	exposure_diff	pvalue
Signature.1	0.22276264744351013	0.22885366916850727	-0.006091021724997148	0.4662726386950942
Signature.2	0.0020104426164308893	2.7150114146557423e-4	0.001738941474965315	0.034254260352195795
Signature.3	0.1684773863710356	0.1578830552146125	0.010594331156423109	0.3492843488207274
Signature.4	0.004445372167588947	0.004730696624804792	-2.8532445721584504e-4	0.8351585956625656
Signature.5	0.11412472804681535	0.1308895972464475	-0.016764869199632146	0.1682204091258731
Signature.6	0.007090966723646916	0.008750100769296117	-0.001659134045649201	0.17833084179584374
Signature.7	9.561225112685084e-4	6.455217063896133e-4	3.1060080487889516e-4	0.47662016842549093
Signature.8	0.1567418570321962	0.14060756834376498	0.016134288688431225	0.20342384599553442
Signature.9	0.04729049340185861	0.05470198759646057	-0.007411494194601957	0.8061149293739023
Signature.10	0.0014001118358819451	2.3414737870173103e-4	0.001165964457180214	0.16018591433949134
Signature.11	0.0010072672240123556	0.0031831712883148267	-0.002175904064302471	0.4420656180437027
Signature.12	0.008022981597871563	0.007025269078086173	9.977125197853905e-4	0.9937291926773691
Signature.13	0.002919130274054113	0.0016162276647791116	0.0013029026092750014	0.49423656596769994
Signature.14	0.006775861068979398	9.516080541016853e-4	0.0058242530148777125	0.3706699845580206
Signature.15	0.004588219625995548	0.0074593145021913	-0.0028710948761957516	0.8998303602570243
Signature.16	0.037896787879819094	0.03368442350676346	0.004212364373055631	0.6970553648000692
Signature.17	0.004549432833390741	0.0027069167705777893	0.0018425160628129517	0.3392279661576057
Signature.18	0.005555280989460515	0.010568858180625269	-0.005013577191164753	0.2554890784682252
Signature.19	0.008926210398232786	0.009340842124477897	-4.146317262451113e-4	0.393730440284762
Signature.20	0.00150873448498071	0.0016299113953477777	-1.2117691036706772e-4	0.4178848765453861
Signature.21	0.0030963343997676657	0.0018394813531056242	0.0012568530466620415	0.33010622629283065
Signature.22	3.981601051957355e-4	5.750211230248814e-4	-1.7686101782914593e-4	0.7784331857603767
Signature.23	0.00502905082088536	0.00364846840126276	0.0013805824196225997	0.088112894965817
Signature.24	7.94392896940642e-4	0.0012032607698989977	-4.088678729583557e-4	0.9078808750252211
Signature.25	0.02990501060533938	0.03461495662166883	-0.004709946016329451	0.47286865458937033
Signature.26	0.00549607559788409	0.004332894174902416	0.001163181422981674	0.65696925758532565
Signature.27	4.283217747270366e-4	1.1122122445378516e-4	3.1710055027325145e-4	0.3227522698677358
Signature.28	0.011504767877140996	0.014383202318722565	-0.002878434441581569	0.7202364143572855
Signature.29	7.56997791531522e-4	0.002059084526410105	-0.001302086734878583	0.3777271276700311
Signature.30	0.013359567794735953	0.01368756331428398	-3.279955195480272e-4	0.4682355589834216
