pathway_name	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Cancer predisposition genes	9403	64620	1.70513127435241	7.255900572939121e-9	1.42708002057894	2.02795480028387	7.255900572939121e-9	gnomAD	12.702808586520407	9403/74023
Cancer predisposition genes	838	5457	1.61561636823337	9.40096661013121e-7	1.3337515427306	1.94951739557067	9.40096661013121e-7	PMBB	13.312152501985702	838/6295
Cancer predisposition genes	165	665	NA	NA	NA	NA	NA	PBTA	19.879518072289155	165/830
