Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_ZHJFX6C9	0.06126327497568406	0	0.38126976267539264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17882859179783828	0	0	0	0	0	0	0.08526754527923605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13709875851120085	0	0	0	0	0	0	0	0	0	0
BS_ZH6PC8KM	0.1968478011694271	0	0.220942224855311	0	0.3385064315325255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0717501508045613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08562215874466679	0	0	0	0	0	0	0	0	0	0
BS_ZECKZTFC	0.19314299942241908	0	0.07202772110167101	0	0.30368264050288274	0	0	0	0	0	0	0	0	0	0.06393661237608074	0	0	0	0	0	0	0	0	0	0.13460222572939073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZCY4ECNV	0.09747785164567865	0	0.45303742561288646	0	0.1572146040889535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10198959992612207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13191264568494573	0	0	0	0	0	0	0	0	0	0
BS_ZBWQG7VR	0.16888055431654098	0	0.2504456416869466	0	0.31613306854815715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06447393099836633	0	0	0	0	0	0	0	0	0	0
BS_ZAT0XJE5	0.20254697987622777	0	0.2970020419857232	0	0.1507496531470033	0	0	0	0	0	0	0.06666839087353767	0	0	0	0	0	0	0	0	0	0	0	0	0.0803541010367605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08911386575952333	0	0	0	0	0	0	0	0	0	0
BS_ZAH4FHV2	0	0	0.11681317782775485	0	0.328223706265973	0.0849299073888018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19559850261230063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0924655220128027	0	0	0	0	0	0	0	0	0	0	0
BS_Z9PKZ4RT	0.12911874815612154	0	0.24869769040037512	0	0.35910287120868106	0	0	0	0	0	0	0.15220119901317258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_Z9NCH2XA	0.11642193486068733	0	0.3902979965042032	0	0.27591584355184084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10725156581063201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747995952008297	0	0	0	0	0	0	0	0	0	0
BS_Z8GRJ71M	0	0	0	0	0.14682816543075805	0	0	0	0	0	0	0.11409480006874026	0	0	0	0	0	0	0	0	0.12491950722110005	0	0	0	0	0	0	0	0	0	0	0.1391912801790696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3521603261313419	0	0	0	0	0	0	0	0
