gene_symbol_vep	population	count_with_plp_control	total_cohort_size_control	count_without_plp_control	count_with_plp_case	total_cohort_size_case	count_without_plp_case	p	OR	ci.int1	ci.int2	padj	ntests
SDHA	all	111	74023	73912	1	830	829	1	0.803227493	0.020132607	4.581359786	1	73
SLX4	all	78	74023	73945	2	830	828	0.222531347	2.289831722	0.272047476	8.578859228	1	73
SOS1	all	12	74023	74011	1	830	829	0.134948325	7.440006171	0.173832137	50.3936061	1	73
SOS2	all	6	74023	74017	1	830	829	0.075086896	14.88202964	0.323126665	122.6045616	1	73
TERT	all	41	74023	73982	2	830	828	0.082335139	4.358384617	0.509858477	16.82688948	1	73
VHL	all	19	74023	74004	1	830	829	0.199913279	4.698122079	0.112941738	29.64033901	1	73
WAS	all	1	74023	74022	1	830	829	0.022053994	89.40576357	1.136144122	6532.282188	1	73
WRN	all	108	74023	73915	1	830	829	1	0.825572637	0.020687621	4.711040233	1	73
XPC	all	86	74023	73937	1	830	829	0.621159469	1.037087667	0.025927463	5.950181797	1	73
DROSHA	all	11	74023	74012	1	830	829	0.12524716	8.115577669	0.188335961	55.94773391	1	73
