gene_symbol_vep	population	count_with_plp_control	total_cohort_size_control	count_without_plp_control	count_with_plp_case	total_cohort_size_case	count_without_plp_case	p	OR	ci.int1	ci.int2	padj	ntests
RAD50	all	236	74023	73787	4	837	833	0.34875476	1.501305378	0.404737715	3.909725232	1	73
RECQL4	all	311	74023	73712	6	837	831	0.17487918	1.711285722	0.621417188	3.783080816	1	73
RMRP	all	129	74023	73894	4	837	833	0.062806202	2.750466572	0.736549212	7.240800628	1	73
SDHA	all	115	74023	73908	1	837	836	1	0.768756224	0.019274688	4.381096477	1	73
SLX4	all	79	74023	73944	2	837	835	0.229365796	2.241875405	0.266410246	8.395649688	1	73
SOS1	all	12	74023	74011	1	837	836	0.135999378	7.37786772	0.172378323	49.97003624	1	73
SOS2	all	6	74023	74017	1	837	836	0.075692157	14.75778529	0.320424257	121.5362101	1	73
TERT	all	41	74023	73982	2	837	835	0.083510229	4.321836057	0.505592148	16.68544505	1	73
VHL	all	21	74023	74002	1	837	836	0.219171331	4.215005088	0.101807004	26.28240118	1	73
WAS	all	1	74023	74022	1	837	836	0.022236878	88.6872291	1.12664239	6481.587371	1	73
WRN	all	110	74023	73913	1	837	836	1	0.803753698	0.020144382	4.585142953	1	73
XPC	all	86	74023	73937	1	837	836	0.624230805	1.028397854	0.025710623	5.900202429	1	73
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
