term	pvalue
sex	0.6160491809497061
race	0.5856148079460295
ancestry	0.646212891035419
ethnicity	0.6656549137362177
group	0.0015735051125363565
age	0.52648718509394965
OS_years	0.5797116662164217
EFS_years	0.3474587709153606
tmb	0.7120907183888887
