#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03439	AFR	AFR	0	0.9984	0.0016	0	0	62.5489	-17.8317	0.3651	0.7969	2.6415	NA	NA	NA	NA	NA
NA18941	EAS	EAS	1	0	0	0	0	-7.6317	-43.0302	-2.7964	5.617	-5.6067	NA	NA	NA	NA	NA
NA19445	AFR	AFR	0	0.9996	4e-4	0	0	59.4105	-16.1727	0.9661	2.9439	-0.5743	NA	NA	NA	NA	NA
NA19649	AMR	AMR	0	0.0032	0.9968	0	0	0.4039	3.239	-8.4686	-0.2786	1.8206	NA	NA	NA	NA	NA
HG02380	EAS	EAS	1	0	0	0	0	-6.524	-46.5702	-1.3681	8.4061	1.5835	NA	NA	NA	NA	NA
NA19351	AFR	AFR	0	0.9976	0.0024	0	0	59.9317	-16.9807	-0.2906	1.6877	2.2615	NA	NA	NA	NA	NA
NA21143	SAS	SAS	0	0	0	1	0	1.4819	-6.038	19.6225	-4.5751	1.7297	NA	NA	NA	NA	NA
HG03585	SAS	SAS	0	0	0	1	0	0.1143	-10.6627	16.2329	-5.0727	2.524	NA	NA	NA	NA	NA
NA20765	EUR	EUR	0	0	0.0033	0	0.9967	2.0864	11.6682	-4.3544	9.6994	3.9617	NA	NA	NA	NA	NA
NA18988	EAS	EAS	1	0	0	0	0	-6.9427	-43.1805	-2.3741	4.9423	-2.3085	NA	NA	NA	NA	NA
HG03045	AFR	AFR	0	0.9985	0.0015	0	0	59.6412	-18.4969	-0.2861	1.3343	0.6469	NA	NA	NA	NA	NA
NA20856	SAS	SAS	0	0	0	1	0	2.3496	-3.996	18.5687	-5.3837	1.6078	NA	NA	NA	NA	NA
HG03703	SAS	SAS	0	0	0	1	0	1.0885	-5.3391	17.8162	-3.6031	2.9343	NA	NA	NA	NA	NA
NA20317	AFR	AFR	0	0.9878	0.0122	0	0	45.0126	-8.4523	-1.9984	3.6432	0.2162	NA	NA	NA	NA	NA
NA19030	AFR	AFR	0	0.9995	5e-4	0	0	58.532	-16.561	0.198	2.7502	3.2843	NA	NA	NA	NA	NA
NA19248	AFR	AFR	0	0.9994	6e-4	0	0	63.7099	-16.9483	-0.3113	0.7014	1.4798	NA	NA	NA	NA	NA
HG01947	AMR	AMR	0	0.0022	0.9978	0	0	-3.2861	-11.973	-15.6536	-19.7911	2.8743	NA	NA	NA	NA	NA
NA20826	EUR	EUR	0	0	6e-4	0	0.9994	1.742	13.0604	-3.5443	10.4062	-1.0461	NA	NA	NA	NA	NA
HG02938	AFR	AFR	0	0.9998	2e-4	0	0	63.2199	-17.2101	0.6925	0.3545	-0.2317	NA	NA	NA	NA	NA
NA18536	EAS	EAS	1	0	0	0	0	-9.0731	-43.5958	-3.9393	9.8261	-0.361	NA	NA	NA	NA	NA
NA19236	AFR	AFR	0	0.9999	1e-4	0	0	62.3615	-17.0626	-0.2416	0.6455	-0.6584	NA	NA	NA	NA	NA
HG00383	EUR	EUR	0	0	0.0012	0	0.9988	-1.5851	8.3688	-6.5761	8.1127	-3.4766	NA	NA	NA	NA	NA
NA19314	AFR	AFR	0	0.9996	4e-4	0	0	57.5059	-15.9189	0.0445	2.5632	2.2838	NA	NA	NA	NA	NA
HG00188	EUR	EUR	0	0	0.0147	0	0.9853	0.2101	9.981	-7.1059	6.8183	-1.5472	NA	NA	NA	NA	NA
HG01942	AMR	AMR	0	0.0149	0.9851	0	0	-6.8935	-19.1959	-20.8342	-32.6084	2.9277	NA	NA	NA	NA	NA
HG01600	EAS	EAS	1	0	0	0	0	-7.8998	-44.5486	-0.9272	7.8086	4.2485	NA	NA	NA	NA	NA
HG03397	AFR	AFR	0	0.9999	1e-4	0	0	62.3903	-16.9937	0.0485	2.5608	0.279	NA	NA	NA	NA	NA
NA12414	EUR	EUR	0	0	0.0064	0	0.9936	-1.4411	11.5091	-3.6982	6.4575	2.4808	NA	NA	NA	NA	NA
HG03767	SAS	SAS	0	0	0	1	0	-0.0739	-0.521	12.2414	-1.7229	2.472	NA	NA	NA	NA	NA
HG01440	AMR	AMR	0	8e-4	0.9991	0	1e-4	11.2343	-0.7422	-9.8321	-2.8679	1.3823	NA	NA	NA	NA	NA
NA20282	AFR	AFR	0	0.9661	0.0339	0	0	45.1064	-10.0218	-0.7529	3.6587	-0.4607	NA	NA	NA	NA	NA
HG01770	EUR	EUR	0	0	0.0091	0	0.9909	1.2164	12.5642	-5.4914	10.1884	-0.9598	NA	NA	NA	NA	NA
NA19198	AFR	AFR	0	0.9999	1e-4	0	0	63.4992	-17.1679	-0.5668	0.9596	2.6897	NA	NA	NA	NA	NA
NA21130	SAS	SAS	0	0	0	1	0	1.0965	-4.6843	18.0732	-5.3617	0.8633	NA	NA	NA	NA	NA
NA18557	EAS	EAS	1	0	0	0	0	-7.6747	-42.3329	-2.2331	6.7551	-3.6326	NA	NA	NA	NA	NA
HG00345	EUR	EUR	0	0	0.0023	0	0.9977	-0.5122	8.646	-6.4789	7.3584	-3.3477	NA	NA	NA	NA	NA
HG00978	EAS	EAS	1	0	0	0	0	-8.7332	-43.2729	-1.0998000000000001	8.4926	6.4218	NA	NA	NA	NA	NA
NA19121	AFR	AFR	0	0.9994	6e-4	0	0	63.1857	-18.8132	1.2591	0.8816	-1.0889	NA	NA	NA	NA	NA
NA19474	AFR	AFR	0	0.9998	2e-4	0	0	58.8772	-17.3862	-0.1778	0.926	-0.5436	NA	NA	NA	NA	NA
NA18603	EAS	EAS	1	0	0	0	0	-8.5394	-45.6024	-1.2768	7.5191	1.0206	NA	NA	NA	NA	NA
HG01133	AMR	AMR	0	1e-4	0.9501	9e-4	0.0489	1.8111	6.0043	-6.8827	2.4287	0.3936	NA	NA	NA	NA	NA
HG01607	EUR	EUR	0	0	0.0015	0	0.9985	2.1361	11.5946	-4.9766	10.1985	3.9015	NA	NA	NA	NA	NA
NA19717	AMR	AMR	0	0.0366	0.9634	0	0	-2.8776	-9.7196	-14.4919	-19.4096	0.0077	NA	NA	NA	NA	NA
HG02184	EAS	EAS	1	0	0	0	0	-8.879	-45.238	-1.4905	9.2699	5.8957	NA	NA	NA	NA	NA
HG02075	EAS	EAS	1	0	0	0	0	-7.4801	-44.4095	-1.6014	6.1606	5.4633	NA	NA	NA	NA	NA
HG02981	AFR	AFR	0	0.9998	2e-4	0	0	63.2037	-17.6832	-0.1747	0.8458	2.2727	NA	NA	NA	NA	NA
HG02568	AFR	AFR	0	0.9997	3e-4	0	0	60.1451	-16.4569	1.2023	0.7725	0.0991	NA	NA	NA	NA	NA
HG02031	EAS	EAS	1	0	0	0	0	-7.5945	-44.3268	-1.0581	8.0345	5.034	NA	NA	NA	NA	NA
NA19651	AMR	AMR	0	0	0.8172	0	0.1827	3.3763	1.6716	-9.9082	-4.8345	1.7583	NA	NA	NA	NA	NA
HG03727	SAS	SAS	0	0	0	1	0	2.4973	-6.9491	18.9276	-5.95	0.5519	NA	NA	NA	NA	NA
HG02716	AFR	AFR	0	0.9997	3e-4	0	0	62.2705	-18.2027	0.8073	2.0327	-0.169	NA	NA	NA	NA	NA
HG02778	SAS	SAS	0	0	0	1	0	1.5152	-8.6418	19.2413	-3.4017	1.2634	NA	NA	NA	NA	NA
HG01092	AMR	AMR	0	0.0158	0.9539	0	0.0303	16.7973	0.9883	-6.3607	2.3053	-0.1847	NA	NA	NA	NA	NA
HG01369	AMR	AMR	0	0.0019	0.9981	0	0	4.571	-9.0349	-12.8461	-13.9557	1.7676	NA	NA	NA	NA	NA
HG00105	EUR	EUR	0	0	0.0063	0	0.9937	-0.6484	11.3509	-6.1358	8.6874	4.4776	NA	NA	NA	NA	NA
HG01516	EUR	EUR	0	0	7e-4	0	0.9993	0.9722	13.124	-6.0217	11.9357	-1.8781	NA	NA	NA	NA	NA
HG03488	SAS	SAS	0	0	0	1	0	1.42	-2.7849	14.3416	-0.3129	0.4157	NA	NA	NA	NA	NA
HG01518	EUR	EUR	0	0	0.0024	0	0.9976	2.253	12.0598	-6.7941	10.7898	1.1324	NA	NA	NA	NA	NA
HG02060	EAS	EAS	1	0	0	0	0	-7.7662	-43.2768	-1.7485	7.0198	6.7402	NA	NA	NA	NA	NA
HG01843	EAS	EAS	0.9999	0	1e-4	0	0	-7.7225	-43.4231	0.4166	7.5207	3.8124	NA	NA	NA	NA	NA
HG03199	AFR	AFR	0	0.9998	2e-4	0	0	62.0413	-16.8733	0.4125	3.2987	3.5599	NA	NA	NA	NA	NA
HG02299	AMR	AMR	0	5e-4	0.9995	0	0	-6.4324	-20.2438	-20.8569	-33.6532	5.1775	NA	NA	NA	NA	NA
NA19063	EAS	EAS	1	0	0	0	0	-7.8416	-43.6263	-2.0284	7.4693	-3.0174	NA	NA	NA	NA	NA
HG03653	SAS	SAS	0	0	0	1	0	3.0731	-5.0492	16.8744	-4.2102	0.6951	NA	NA	NA	NA	NA
NA18992	EAS	EAS	1	0	0	0	0	-7.1758	-43.914	-2.4113	7.9558	-6.9334	NA	NA	NA	NA	NA
NA19740	AMR	AMR	0	0.0053	0.9947	0	0	-2.9514	-17.9503	-20.1674	-24.0945	-2.4483	NA	NA	NA	NA	NA
HG00282	EUR	EUR	0	0	0.0061	0	0.9939	-1.1387	9.314	-6.704	9.6109000000000009	-3.7518	NA	NA	NA	NA	NA
NA20810	EUR	EUR	0	0	0.0029	2e-4	0.9969	2.1105	12.3687	-4.4988	8.5581	4.9635	NA	NA	NA	NA	NA
HG02035	EAS	EAS	0.9999	0	1e-4	0	0	-6.6157	-43.3784	0.1805	8.2864	6.6967	NA	NA	NA	NA	NA
HG01112	EUR	AMR	0	0	0.0165	0	0.9835	0.5066	10.8059	-6.0213	5.9984	1.5886	NA	NA	NA	NA	NA
NA18532	EAS	EAS	1	0	0	0	0	-8.0491	-44.317	-2.7074	6.5501	-1.8756	NA	NA	NA	NA	NA
HG00257	EUR	EUR	0	0	0.001	0	0.999	0.6784	12.9636	-5.6416	8.8508	2.6703	NA	NA	NA	NA	NA
HG03823	SAS	SAS	0	0	0	1	0	-0.17	-10.4375	16.705	-3.2873	-1.8175	NA	NA	NA	NA	NA
HG02642	AFR	AFR	0	0.9999	1e-4	0	0	60.6719	-17.5284	-1.2133	0.8825	2.1981	NA	NA	NA	NA	NA
HG01140	EUR	AMR	4e-4	0	0.3491	4e-4	0.65	1.7187	2.2813	-8.6523	-3.6863	3.332	NA	NA	NA	NA	NA
HG02545	AFR	AFR	0	1	0	0	0	58.7613	-14.4901	0.5995	2.1984	-0.9	NA	NA	NA	NA	NA
NA12878	EUR	EUR	0	0	0.051	0	0.949	0.1246	12.3314	-5.704	10.1001	0.8032	NA	NA	NA	NA	NA
HG00638	AMR	AMR	0	0.0022	0.9938	0.001	0.003	11.363	4.6496	-7.448	0.5421	3.0331	NA	NA	NA	NA	NA
HG03899	SAS	SAS	0	0	0	1	0	0.7105	-7.6721	18.2726	-3.8685	-2.0495	NA	NA	NA	NA	NA
HG01510	EUR	EUR	0	0	0.0757	0	0.9243	1.4488	11.9091	-4.296	9.6857	3.244	NA	NA	NA	NA	NA
HG00361	EUR	EUR	0	0	0.0069	0	0.9931	-2.4382	5.277	-4.8272	8.1685	-1.6244	NA	NA	NA	NA	NA
HG00651	EAS	EAS	1	0	0	0	0	-7.4441	-45.6748	-5.0262	6.8395	4.0503	NA	NA	NA	NA	NA
HG01468	AMR	AMR	1e-4	3e-4	0.9962	0	0.0035	0.5453	4.7927	-8.1181	0.3011	4.0177	NA	NA	NA	NA	NA
HG03716	SAS	SAS	0	0	0	1	0	1.9994	-4.1677	15.0147	-4.5542	2.4794	NA	NA	NA	NA	NA
HG00182	EUR	EUR	0	0	0.0062	0	0.9938	-1.0249	10.6884	-7.3616	7.7027	-7.2848	NA	NA	NA	NA	NA
HG01465	AMR	AMR	0	0.0013	0.9941	0	0.0046	-0.1153	5.2471	-6.5228	1.1316	3.1765	NA	NA	NA	NA	NA
NA19904	AFR	AFR	0	0.9962	0.0038	0	0	52.5749	-12.1806	-0.6157	1.4032	-2.1837	NA	NA	NA	NA	NA
NA19681	AMR	AMR	0	0.0029	0.9971	0	0	-0.7377	-10.493	-13.6765	-16.9994	1.2285	NA	NA	NA	NA	NA
HG00698	EAS	EAS	1	0	0	0	0	-7.4699	-46.2512	-1.7415	8.1816	3.75	NA	NA	NA	NA	NA
NA19190	AFR	AFR	0	0.9998	2e-4	0	0	62.9613	-18.9933	1.0997	0.8465	0.3284	NA	NA	NA	NA	NA
NA18620	EAS	EAS	0.9999	0	1e-4	0	0	-7.7581	-43.22	-2.8473	5.0156	-3.8569	NA	NA	NA	NA	NA
HG03514	AFR	AFR	0	1	0	0	0	63.7885	-17.6015	0.358	1.1888	0.0196	NA	NA	NA	NA	NA
HG03491	SAS	SAS	0	0	0	1	0	1.6094	-5.2559	17.1245	-3.5835	3.6105	NA	NA	NA	NA	NA
HG02678	AFR	AFR	0	0.9993	7e-4	0	0	60.3302	-17.1037	0.6239	2.77	1.539	NA	NA	NA	NA	NA
HG01079	AMR	AMR	0	2e-4	0.8133	0	0.1865	8.6222	2.6649	-6.8863	3.3029	2.6522	NA	NA	NA	NA	NA
HG03743	SAS	SAS	0	0	0	1	0	1.903	-11.2967	22.9378	-6.502	1.1583	NA	NA	NA	NA	NA
